eatery_adddress eatery_cost eatery_cuisine eatery_id eatery_name eatery_F_M_Station  eatery_S_M_Station  eatery_highlights eatery_buffet_price eatery_buffet_details eatery_photos eatery_should_order eatery_popular_reviews eatery_trending eatery_opening_hours eatery_coordinates eatery_rating  eatery_wishlists eatery_title eatery_url converted_epoch eatery_id review_likes review_summary review_text review_time review_url scraped_epoch user_followers user_id user_name user_reviews user_url
     distance name distance name          rating votes              
 Costfor2:Rs.800 "North Indian, Continental, Fast Food" 308196 "The Munchbox"     "[u'Home Delivery', u'Dine-In Not Available', u'Serves Non Veg', u'Bar Not Available', u'Air Conditioned']"   True  8 "[u'Late Night Eats']" "7 PM to 03:30 AM" 28.5971166667,77.0493166667 4.4 "82 votes" Excellent 105 https://www.zomato.com/ncr/the-munchbox-malviya-nagar-delhi  308196
                      1409569342 5404523f0d0cee69ad0ae1a2 3199911 2372521 1 Aditis https://www.zomato.com/adyfoody "Great food, they deliver on time, best of ion for late night eating!" 308196 "2014-08-17 12:19:27" 1 "Very Good" https://www.zomato.com/review/DDGMMD 1 1408258167.0
                      1409569342 5404523f0d0cee69ad0ae1a3 295082 2346781 30 "Nitya George" https://www.zomato.com/users/nitya-george-295082  308196 "2014-08-16 17:31:07" 1 Excellent https://www.zomato.com/review/qzEkvN 3 1408190467.0
                      1409569342 5404523f0d0cee69ad0ae1a4 561012 2345431 13 "True Foodie" https://www.zomato.com/users/true-foodie-561012 "I ordered from munch box quite a few times now , I've not been there but whatever they are dishing out is great . The burgers are good , the jumbo burger  ain't that big but packed with flavours . The fish n chips is worth trying too . I tried the North Indian dishes and it didn't disappoint me. Great packing n delivers in a quick time. Keep up the good work." 308196 "2014-08-16 16:45:33" 53 Good https://www.zomato.com/review/PKyqEB 3 1408187733.0
                      1409569342 5404523f0d0cee69ad0ae1a5 1688659 2330251 48 "Arunima Bhattacharya" https://www.zomato.com/users/arunima-bhattacharya-1688659 "This is the kind of place that will make you go ""OMG, where were you all this time?!"" I'm a huge fan of their food. I somehow chanced upon The Munchbox and ordered just one dish because this was the first time I was ordering from a night delivery restaurant.I ordered the baked potato shells with bacon. And it was one of the best things I've tried! It's really filling and enough for one person unless you're in a mood to do more damage to your stomach. There's just the right amount of cream and flavourful herbs as topping. It comes with a sour cream that compliments it really well. And considered the quantity of the potatoes (pretty big) they are quite generous with the bacon strips!The Lebanese platter was actually one of the best platters I've had. And that too at such a low price. Often other places mess up the Lebanese platters really badly, but not the Munchbox.Then the aglio olio pasta. Honestly I was a little nervous because Aglio Olio is the simplest...read more" 308196 "2014-08-16 03:08:28" 3  https://www.zomato.com/review/AMypQz 6 1408138708.0
                      1409569342 5404523f0d0cee69ad0ae1a6 15966 2146541 13 "Neha Jhingon" https://www.zomato.com/users/neha-jhingon-15966  308196 "2014-08-11 19:17:56" 4 Legendary https://www.zomato.com/review/ZPyyYX 2 1407764876.0
                      1409569342 5404523f0d0cee69ad0ae1a7 3204671 2126801 0 "Ashwin Anand" https://www.zomato.com/users/ashwin-anand-3204671 "Ordered from here 2-3 times. The foods always been top-notch! Their burgers are a God-sent at weird hours of the night! And really surprising how they manage to keep their fries fresh when delivered. The packing is excellent, the delivery is prompt, the foods delicious! My fav late-night delivery joint by far!" 308196 "2014-08-11 01:30:53" 1 Legendary https://www.zomato.com/review/rwAvxy 3 1407700853.0
                      1409569342 5404523f0d0cee69ad0ae1a8 2185730 2102421 1 Adityakhemani https://www.zomato.com/users/adityakhemani-2185730 "These are changing times.. With a late night delivery restaurant being added every fortnight.. But what was pleasantly surprising was the quality and the attention to detail when the food arrived..The garlic bread was served with a delicious dip.. The burger with razor thin fries and slaw.. The Caesar had the most generous serving of sliced chicken and Parmesan... But the dish that truly blew me away was the veg Italian sandwich and the mezze platter.. Never have I enjoyed a veg sandwich over butter chicken( which was rocking too) when drunk..Can't wait to try the rest of the menu!!!!" 308196 "2014-08-10 13:40:04" 1 Excellent https://www.zomato.com/review/DDnQBk 3 1407658204.0
                      1409569342 5404523f0d0cee69ad0ae1a9 1011131 2026461 2 "KESHAV CHADHA" https://www.zomato.com/users/keshav-chadha-1011131 "Don't really write alot of reviews. But if a place delivers food this good, I think it deserves a review. Have ordered food from ""The Munchbox"" 3 times now, and I'm pretty sure it won't be the last. Today I ordered the Crispy Chicken Burger and Zarba Spaghetti . And both were excellent. Have also tried the Chicken Tikka Sub and the Grilled Pita with Hummus. I'm a very picky eater and the food so far has been spot on. Another thing alot of places say they'll deliver the food in a certain time and they don't. But the food here has been delivered on time all 3 times (30-40 mins). Guys keep up the good work. And I'm sure I'll order food from you pretty soon." 308196 "2014-08-08 03:46:08" 2 Legendary https://www.zomato.com/review/pvnMwa 4 1407449768.0
                      1409569342 5404523f0d0cee69ad0ae1aa 3182120 1971291 8 "Tarun Bakshi" https://www.zomato.com/users/tarun-bakshi-3182120 "Wowwww i got a second chance to write about munch box because my last review vanished but great i have tried other things which i can share about i talked about burgers, pastas and all now believe when i saw my pocket and there was less money to spend i thought if ordering normal daal and roti..... Guesss what it was muaaaaaaaahhhhhh...the quantity is the best part about them if they say 1 full daal is for 2 serve it means its 2 and a half which i failed to find other mid night delivery services...good going guys and love ur LAAL MAAS and all time favourite white sauce pasta and the big meat burger" 308196 "2014-08-06 05:35:01" 1 Legendary https://www.zomato.com/review/XBaLoL 3 1407283501.0
                      1409569342 540452400d0cee69ad0ae1ab 3510141 1127751 3 "Varun Vats" https://www.zomato.com/users/varun-vats-3510141  308196 "2014-08-02 19:45:07" 1 Legendary https://www.zomato.com/review/AGZoA 3 1406988907.0
